,Unnamed: 0,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Images
700,700,552.0,Buddy Boeheim,26.0,OKC,SF,4.0,0.0,3.8,0.5,1.5,0.333,0.5,1.5,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631205.png
701,701,553.0,Joe Ingles,38.0,MIN,SF,27.0,2.0,5.7,0.6,1.0,0.593,0.3,0.6,0.438,0.3,0.4,0.818,0.722,0.1,0.1,1.0,0.0,0.7,0.7,1.3,0.3,0.1,0.5,0.3,1.5,,https://cdn.nba.com/headshots/nba/latest/1040x760/204060.png
702,702,554.0,Jonathan Mogbo,24.0,TOR,PF,40.0,0.0,6.2,0.7,1.1,0.591,0.0,0.0,0.0,0.7,1.1,0.605,0.591,0.2,0.4,0.643,0.5,1.2,1.7,0.6,0.3,0.2,0.4,0.7,1.5,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642367.png
703,703,555.0,Thanasis Antetokounmpo,33.0,MIL,SF,34.0,0.0,4.4,0.4,0.9,0.469,0.0,0.1,0.0,0.4,0.8,0.536,0.469,0.5,0.9,0.567,0.4,0.5,0.9,0.4,0.4,0.2,0.3,0.5,1.4,,https://cdn.nba.com/headshots/nba/latest/1040x760/203648.png
704,704,556.0,Amari Williams,24.0,BOS,PF,22.0,2.0,6.6,0.5,0.9,0.5,0.0,0.0,,0.5,0.9,0.5,0.5,0.5,0.6,0.714,0.4,1.4,1.8,0.5,0.1,0.5,0.5,0.9,1.4,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642873.png
705,705,557.0,Isaac Jones,25.0,2TM,PF,7.0,1.0,5.1,0.4,1.0,0.429,0.0,0.3,0.0,0.4,0.7,0.6,0.429,0.4,0.6,0.75,0.3,0.4,0.7,0.1,0.0,0.1,0.1,0.6,1.3,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642403.png
706,706,557.0,Isaac Jones,25.0,SAC,PF,3.0,1.0,5.7,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.3,0.7,0.5,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.3,1.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642403.png
707,707,557.0,Isaac Jones,25.0,DET,PF,4.0,0.0,4.8,0.5,1.3,0.4,0.0,0.3,0.0,0.5,1.0,0.5,0.4,0.5,0.5,1.0,0.0,0.8,0.8,0.0,0.0,0.3,0.3,0.0,1.5,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642403.png
708,708,558.0,Colin Castleton,25.0,ORL,C,4.0,0.0,5.3,0.5,1.3,0.4,0.0,0.0,,0.5,1.3,0.4,0.4,0.3,0.3,1.0,0.5,1.5,2.0,0.3,0.3,0.0,0.5,0.5,1.3,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630658.png
709,709,559.0,Nigel Hayes-Davis,31.0,PHO,SF,27.0,0.0,7.2,0.6,1.7,0.326,0.1,0.6,0.125,0.5,1.1,0.433,0.348,0.1,0.1,0.5,0.4,0.8,1.2,0.3,0.3,0.1,0.3,0.6,1.3,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628502.png
710,710,560.0,Dillon Jones,24.0,NYK,SF,7.0,0.0,5.6,0.3,1.3,0.222,0.1,0.7,0.2,0.1,0.6,0.25,0.278,0.6,0.6,1.0,0.3,0.7,1.0,0.6,0.4,0.0,0.0,0.9,1.3,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641794.png
711,711,561.0,TyTy Washington Jr.,24.0,LAC,PG,16.0,0.0,5.5,0.6,1.2,0.474,0.2,0.5,0.375,0.4,0.7,0.545,0.553,0.0,0.0,,0.1,0.3,0.4,1.1,0.4,0.2,0.2,0.4,1.3,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631102.png
712,712,562.0,Javonte Cooke,26.0,POR,SG,19.0,0.0,4.9,0.5,2.2,0.22,0.2,1.2,0.13,0.3,0.9,0.333,0.256,0.1,0.1,1.0,0.2,0.8,1.0,0.4,0.3,0.0,0.5,0.3,1.2,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631451.png
713,713,563.0,Kyle Lowry,39.0,PHI,PG,14.0,0.0,8.4,0.3,1.8,0.16,0.3,1.8,0.16,0.0,0.0,,0.24,0.4,0.4,0.833,0.0,0.6,0.6,0.8,0.1,0.1,0.3,0.6,1.2,,https://cdn.nba.com/headshots/nba/latest/1040x760/200768.png
714,714,564.0,Trey Jemison,26.0,NYK,C,13.0,0.0,6.3,0.5,0.8,0.6,0.0,0.0,,0.5,0.8,0.6,0.6,0.1,0.1,1.0,0.6,0.8,1.4,0.4,0.1,0.2,0.8,0.8,1.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641998.png
715,715,565.0,Trevor Keels,22.0,MIA,SG,8.0,0.0,1.9,0.4,1.5,0.25,0.3,1.1,0.222,0.1,0.4,0.333,0.333,0.0,0.0,,0.0,0.3,0.3,0.0,0.1,0.0,0.0,0.0,1.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631211.png
716,716,566.0,Hunter Sallis,22.0,PHI,SG,7.0,0.0,3.7,0.4,0.7,0.6,0.0,0.0,,0.4,0.7,0.6,0.6,0.1,0.3,0.5,0.0,0.1,0.1,0.6,0.0,0.1,0.7,0.3,1.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642282.png
717,717,567.0,Dario Šarić,31.0,SAC,C,5.0,0.0,8.2,0.2,1.2,0.167,0.2,0.6,0.333,0.0,0.6,0.0,0.25,0.4,0.4,1.0,0.2,1.0,1.2,0.4,0.0,0.0,0.4,0.6,1.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/203967.png
718,718,568.0,Stanley Umude,26.0,SAS,SG,2.0,0.0,3.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630649.png
719,719,569.0,Bismack Biyombo,33.0,SAS,C,25.0,1.0,5.6,0.4,0.6,0.6,0.0,0.0,,0.4,0.6,0.6,0.6,0.2,0.3,0.714,0.2,0.8,1.0,0.2,0.2,0.1,0.3,1.1,0.9,,https://cdn.nba.com/headshots/nba/latest/1040x760/202687.png
720,720,570.0,Johni Broome,23.0,PHI,C,11.0,0.0,5.0,0.4,2.2,0.167,0.0,0.5,0.0,0.4,1.7,0.211,0.167,0.2,0.5,0.333,0.6,0.8,1.5,0.4,0.3,0.2,0.3,0.6,0.9,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641780.png
721,721,571.0,N'Faly Dante,24.0,ATL,C,4.0,0.0,3.8,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.3,0.3,1.0,0.8,1.0,1.8,0.0,0.5,0.0,0.3,0.3,0.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642368.png
722,722,572.0,Markelle Fultz,27.0,TOR,PG,5.0,0.0,7.2,0.4,2.2,0.182,0.0,0.0,,0.4,2.2,0.182,0.182,0.0,0.0,,0.0,0.2,0.2,1.6,0.4,0.0,0.8,0.4,0.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628365.png
723,723,573.0,Vladislav Goldin,24.0,MIA,C,9.0,0.0,2.7,0.3,0.4,0.75,0.0,0.0,,0.3,0.4,0.75,0.75,0.1,0.1,1.0,0.3,0.7,1.0,0.3,0.0,0.3,0.3,0.6,0.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642884.png
724,724,574.0,Chris Mañon,24.0,LAL,SG,9.0,0.0,5.1,0.2,0.7,0.333,0.0,0.3,0.0,0.2,0.3,0.667,0.333,0.3,0.4,0.75,0.2,0.9,1.1,0.3,0.6,0.2,0.1,0.7,0.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/1643024.png
725,725,575.0,Drew Peterson,26.0,CHO,PF,6.0,0.0,10.7,0.3,2.7,0.125,0.0,2.0,0.0,0.3,0.7,0.5,0.125,0.2,0.3,0.5,0.5,1.0,1.5,0.3,0.5,0.2,0.0,0.5,0.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641809.png
726,726,576.0,Garrett Temple,39.0,TOR,SG,22.0,0.0,3.3,0.2,0.7,0.267,0.1,0.5,0.25,0.0,0.1,0.333,0.367,0.3,0.4,0.667,0.0,0.4,0.4,0.4,0.2,0.1,0.3,0.3,0.8,,https://cdn.nba.com/headshots/nba/latest/1040x760/202066.png
727,727,577.0,Max Shulga,23.0,BOS,SG,11.0,1.0,3.3,0.2,0.7,0.25,0.1,0.4,0.25,0.1,0.4,0.25,0.313,0.2,0.2,1.0,0.3,0.3,0.5,0.2,0.1,0.0,0.3,0.9,0.6,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642917.png
728,728,578.0,Jahmyl Telfort,24.0,LAC,PF,8.0,0.0,4.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.1,0.5,0.25,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.6,0.1,,https://cdn.nba.com/headshots/nba/latest/1040x760/1643141.png
729,729,579.0,Darius Brown II,26.0,CLE,SG,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
730,730,580.0,Noa Essengue,19.0,CHI,PF,2.0,0.0,3.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642855.png
731,731,581.0,Tosan Evbuomwan,24.0,NYK,SF,5.0,0.0,1.6,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641787.png
732,732,582.0,Chucky Hepburn,22.0,TOR,PG,2.0,0.0,6.5,0.0,3.0,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642935.png
733,733,,League Average,,,,,,,,,0.471,,,0.36,,,0.55,0.546,,,0.783,,,,,,,,,,,
