,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,,Offensive Rating,Defensive Rating
59,58,Chris Duhon,PG,29,ORL,5,0,61,0.9,4.5,.200,0.9,2.7,.333,0.0,1.8,.000,0.0,1.8,.000,0.0,6.4,6.4,8.2,4.5,0.9,6.4,4.5,2.7,,51,101
60,59,Tim Duncan*,C,35,SAS,14,14,463,11.3,22.9,.495,0.0,0.1,.000,11.3,22.8,.498,4.6,6.5,.707,3.6,11.1,14.7,4.4,1.1,3.3,2.4,3.4,27.3,,110,100
61,60,Kevin Durant,SF,23,OKC,20,20,837,12.5,24.2,.517,2.6,7.0,.373,9.9,17.3,.575,8.4,9.8,.864,0.8,8.5,9.4,4.7,1.8,1.5,4.0,3.2,36.1,,119,107
62,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
63,61,Devin Ebanks,SG,22,LAL,9,6,126,6.8,16.7,.410,0.0,1.3,.000,6.8,15.4,.444,2.1,3.4,.625,3.0,5.6,8.5,2.6,1.3,3.0,0.9,5.6,15.8,,102,110
64,62,Jeremy Evans,SF,24,UTA,2,0,7,0.0,7.5,.000,0.0,0.0,,0.0,7.5,.000,14.9,14.9,1.000,0.0,22.4,22.4,7.5,7.5,0.0,0.0,7.5,14.9,,140,93
65,63,Reggie Evans,PF,31,LAC,11,0,198,2.2,4.1,.533,0.0,0.0,,2.2,4.1,.533,4.6,10.9,.425,5.5,16.4,21.8,0.3,2.5,1.6,2.5,8.5,9.0,,100,98
66,64,Christian Eyenga,SF,22,LAL,3,0,9,12.0,17.9,.667,0.0,0.0,,12.0,17.9,.667,0.0,6.0,.000,6.0,6.0,12.0,6.0,6.0,6.0,6.0,17.9,23.9,,99,96
67,65,Kenneth Faried,PF,22,DEN,7,7,192,8.9,16.6,.533,0.0,0.0,,8.9,16.6,.533,2.5,3.3,.750,6.9,12.5,19.4,1.1,1.4,2.2,3.9,5.5,20.2,,106,102
68,66,Derrick Favors,PF,20,UTA,4,1,116,6.8,16.2,.417,0.0,0.0,,6.8,16.2,.417,7.7,13.1,.586,6.3,10.8,17.1,0.9,2.3,2.7,2.3,5.0,21.2,,104,106
69,67,Landry Fields,SG,23,NYK,5,4,115,7.2,14.9,.484,0.5,2.4,.200,6.7,12.5,.538,2.4,3.4,.714,1.9,5.3,7.2,3.4,1.4,0.0,4.3,2.4,17.3,,95,113
70,68,Derek Fisher,PG,37,OKC,20,0,446,5.8,14.0,.415,2.1,5.7,.375,3.7,8.3,.443,1.1,1.1,1.000,0.2,3.6,3.8,3.0,2.0,0.2,0.7,4.4,14.9,,109,111
71,69,Randy Foye,SG,28,LAC,11,11,291,5.4,13.7,.392,2.6,5.9,.438,2.8,7.8,.357,2.0,2.4,.846,0.7,3.3,4.1,3.2,1.1,0.6,2.2,3.5,15.4,,101,112
72,70,Enes Freedom,C,19,UTA,4,0,43,8.5,19.4,.438,0.0,0.0,,8.5,19.4,.438,0.0,1.2,.000,9.7,9.7,19.4,1.2,0.0,4.9,4.9,8.5,17.0,,85,108
