,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
105,101,Nikola Jokić,C,29,DEN,14,14,40.2,9.4,19.1,.489,1.9,5.1,.380,7.4,14.1,.528,.539,5.6,7.2,.772,2.1,10.6,12.7,8.0,2.0,0.9,3.9,3.4,26.2
106,102,Derrick Jones Jr.,SF,27,LAC,7,1,18.4,3.0,6.9,.438,0.9,2.9,.300,2.1,4.0,.536,.500,0.4,1.1,.375,0.7,1.1,1.9,0.3,0.6,1.3,0.4,0.4,7.3
107,103,Dillon Jones,SF,23,OKC,10,0,4.6,0.9,1.1,.818,0.3,0.4,.750,0.6,0.7,.857,.955,0.2,0.2,1.000,0.3,0.6,0.9,0.5,0.1,0.1,0.6,0.4,2.3
108,104,DeAndre Jordan,C,36,DEN,7,0,5.1,0.4,0.4,1.000,0.0,0.0,,0.4,0.4,1.000,1.000,0.0,0.6,.000,0.1,1.1,1.3,0.3,0.0,0.1,0.3,1.3,0.9
109,105,Cory Joseph,PG,33,ORL,5,5,24.8,2.0,4.8,.417,1.0,3.2,.313,1.0,1.6,.625,.521,0.0,0.0,,0.2,1.6,1.8,3.0,1.0,0.4,0.4,2.0,5.0
110,106,Nikola Jović,PF,21,MIA,4,0,18.8,3.3,8.8,.371,1.5,6.0,.250,1.8,2.8,.636,.457,1.5,1.5,1.000,1.0,3.0,4.0,1.5,0.8,0.3,1.3,0.5,9.5
111,107,Luke Kennard,SG,28,MEM,4,0,20.0,2.0,4.5,.444,0.5,2.3,.222,1.5,2.3,.667,.500,0.0,0.0,,0.5,3.0,3.5,2.0,1.0,0.3,1.5,0.8,4.5
112,108,Braxton Key,SF,27,GSW,5,0,4.6,0.2,1.6,.125,0.0,0.2,.000,0.2,1.4,.143,.125,0.0,0.0,,1.0,0.8,1.8,0.2,0.4,0.4,0.6,0.8,0.4
113,109,Maxi Kleber,PF,33,LAL,1,0,5.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
114,110,Dalton Knecht,SF,23,LAL,2,0,2.0,1.0,2.5,.400,0.5,2.0,.250,0.5,0.5,1.000,.500,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,2.5
115,111,Kevin Knox,SF,25,GSW,5,0,7.6,1.6,4.0,.400,0.2,1.2,.167,1.4,2.8,.500,.425,0.8,1.0,.800,0.6,0.8,1.4,0.8,0.0,0.2,0.4,0.4,4.2
