,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
54,53,Mohamed Diawara,SF,20,NYK,6,0,7.2,0.5,2.2,.231,0.2,1.0,.167,0.3,1.2,.286,.269,0.0,0.0,,0.2,1.3,1.5,1.0,0.2,0.0,0.5,0.5,1.2
55,54,Gradey Dick,SG,22,TOR,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
56,55,Donte DiVincenzo,SG,29,MIN,4,4,24.0,4.0,8.0,.500,2.8,5.8,.478,1.3,2.3,.556,.672,0.0,0.5,.000,0.0,3.8,3.8,4.0,1.8,0.0,1.0,2.5,10.8
57,56,Luguentz Dort,SF,26,OKC,15,15,22.3,2.0,5.5,.366,1.3,4.3,.308,0.7,1.1,.588,.488,0.1,0.3,.500,0.7,2.0,2.7,1.3,0.5,0.1,0.5,2.7,5.5
58,57,Ayo Dosunmu,SG,26,MIN,10,4,29.2,5.7,11.4,.500,1.7,4.0,.425,4.0,7.4,.541,.575,2.5,2.7,.926,0.7,2.9,3.6,4.1,0.9,0.4,1.5,2.8,15.6
59,58,Andre Drummond,C,32,PHI,11,1,12.9,1.5,2.1,.696,0.4,0.7,.500,1.1,1.4,.800,.783,0.6,0.9,.700,1.1,3.2,4.3,0.6,0.4,0.2,0.8,2.5,3.9
60,59,Ryan Dunn,SF,23,PHO,4,0,8.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.5,1.5,0.5,0.0,0.0,0.8,0.5,0.0
61,60,Kevin Durant,SF,37,HOU,1,1,41.0,7.0,12.0,.583,1.0,4.0,.250,6.0,8.0,.750,.625,8.0,9.0,.889,2.0,4.0,6.0,4.0,1.0,1.0,9.0,4.0,23.0
62,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
63,61,Jalen Duren,C,22,DET,14,14,30.1,4.0,7.8,.514,0.0,0.0,,4.0,7.8,.514,.514,2.2,3.3,.674,3.3,5.2,8.5,2.1,0.6,1.2,2.3,3.4,10.2
64,62,Tari Eason,PF,24,HOU,6,4,32.5,5.2,10.8,.477,1.7,5.0,.333,3.5,5.8,.600,.554,1.8,2.2,.846,2.0,4.7,6.7,1.7,2.5,0.7,0.8,3.7,13.8
65,63,VJ Edgecombe,SG,20,PHI,11,11,37.0,5.5,13.2,.414,1.9,6.5,.292,3.5,6.6,.534,.486,1.2,1.6,.722,2.1,4.0,6.1,3.4,1.0,0.4,1.6,2.6,14.0
66,64,Anthony Edwards,SG,24,MIN,10,8,32.4,7.7,18.0,.428,2.0,6.3,.317,5.7,11.7,.487,.483,4.2,5.1,.824,0.5,5.2,5.7,2.7,0.5,0.7,2.5,2.9,21.6
67,65,Justin Edwards,SF,22,PHI,9,0,12.1,1.2,3.6,.344,0.4,2.0,.222,0.8,1.6,.500,.406,0.4,0.8,.571,0.7,1.6,2.2,0.4,0.0,0.1,0.7,1.7,3.3
68,66,Keon Ellis,SG,26,CLE,12,0,7.4,0.4,1.3,.333,0.4,1.2,.357,0.0,0.1,.000,.500,0.3,0.4,.800,0.3,0.9,1.2,0.3,0.6,0.1,0.5,0.8,1.6
69,67,Joel Embiid,C,31,PHI,7,7,33.3,8.1,17.7,.460,0.7,4.0,.179,7.4,13.7,.542,.480,7.0,8.4,.831,1.1,6.1,7.3,5.4,0.3,0.9,2.1,2.4,24.0
70,68,Dorian Finney-Smith,PF,32,HOU,4,0,12.3,0.5,3.5,.143,0.5,2.8,.182,0.0,0.8,.000,.214,0.5,0.5,1.000,0.3,1.8,2.0,0.3,0.3,0.3,0.5,1.5,2.0
71,69,Rasheer Fleming,PF,21,PHO,4,0,4.5,0.8,1.3,.600,0.8,1.3,.600,0.0,0.0,,.900,0.0,0.0,,0.3,0.0,0.3,0.0,0.5,0.3,0.3,0.5,2.3
72,70,De'Aaron Fox,PG,28,SAS,21,21,33.5,6.0,14.4,.414,1.4,4.9,.294,4.5,9.5,.475,.464,2.2,3.0,.758,0.6,3.2,3.8,6.0,1.3,0.4,2.0,2.6,15.6
73,71,Luka Garza,C,27,BOS,7,1,8.4,1.4,2.9,.500,0.6,1.9,.308,0.9,1.0,.857,.600,1.0,1.1,.875,1.0,0.7,1.7,0.9,0.0,0.1,0.1,2.0,4.4
74,72,Paul George,PF,35,PHI,11,11,35.8,5.9,12.9,.458,3.2,6.5,.493,2.7,6.5,.423,.581,1.4,1.8,.750,0.5,3.4,3.9,3.0,1.3,0.5,2.0,2.5,16.4
75,73,Shai Gilgeous-Alexander,PG,27,OKC,15,15,36.3,8.8,19.0,.463,1.2,3.9,.305,7.6,15.1,.504,.495,8.8,9.9,.892,0.4,2.5,2.9,7.9,1.3,0.9,3.1,2.3,27.6
76,74,Collin Gillespie,PG,26,PHO,4,3,28.5,4.0,9.0,.444,2.5,6.3,.400,1.5,2.8,.545,.583,0.0,0.3,.000,1.5,3.5,5.0,3.8,1.3,0.3,1.0,3.0,10.5
77,75,Rudy Gobert,C,33,MIN,12,12,31.0,2.8,5.8,.493,0.0,0.2,.000,2.8,5.6,.507,.493,1.5,3.2,.474,3.5,5.8,9.3,2.3,1.2,1.1,1.3,2.8,7.2
78,76,Hugo González,SF,19,BOS,4,0,4.8,0.0,0.8,.000,0.0,0.8,.000,0.0,0.0,,.000,0.0,0.5,.000,0.3,0.8,1.0,0.5,0.0,0.3,0.3,1.0,0.0
79,77,Jordan Goodwin,PG,27,PHO,1,1,5.0,1.0,4.0,.250,0.0,3.0,.000,1.0,1.0,1.000,.250,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
80,78,Aaron Gordon,PF,30,DEN,3,3,29.7,4.0,10.0,.400,1.0,4.7,.214,3.0,5.3,.563,.450,2.3,3.3,.700,1.3,4.0,5.3,2.3,0.0,0.3,0.3,3.0,11.3
81,79,Jerami Grant,PF,31,POR,5,0,22.4,3.0,8.6,.349,1.0,3.0,.333,2.0,5.6,.357,.407,3.4,3.6,.944,0.4,1.4,1.8,0.4,1.0,0.2,0.6,2.2,10.4
82,80,Jalen Green,SG,23,PHO,4,4,37.8,8.0,20.8,.386,1.8,8.5,.206,6.3,12.3,.510,.428,4.0,5.0,.800,1.3,4.0,5.3,3.5,2.0,0.3,3.3,2.0,21.8
83,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
84,81,Javonte Green,SG,32,DET,11,0,12.0,0.8,2.7,.300,0.6,2.5,.259,0.2,0.3,.667,.417,0.5,0.5,.833,0.2,1.6,1.8,0.3,0.5,0.5,0.3,1.3,2.7
85,82,Jeff Green,PF,39,HOU,2,0,5.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
86,83,Quentin Grimes,SG,25,PHI,11,0,22.1,2.1,5.3,.397,1.3,3.2,.400,0.8,2.1,.391,.517,1.3,1.5,.875,0.2,2.5,2.7,2.3,0.3,0.5,0.5,1.9,6.7
87,84,Mouhamed Gueye,PF,23,ATL,6,0,8.3,0.7,2.3,.286,0.2,1.7,.100,0.5,0.7,.750,.321,0.2,0.3,.500,0.8,0.8,1.7,0.7,0.2,0.0,0.2,1.5,1.7
88,85,Rui Hachimura,PF,27,LAL,10,10,38.6,6.7,12.2,.549,3.3,5.8,.569,3.4,6.4,.531,.684,0.8,1.1,.727,0.6,3.4,4.0,1.7,0.9,0.6,0.9,2.8,17.5
89,86,Yang Hansen,C,20,POR,4,0,1.3,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
90,87,Tim Hardaway Jr.,SG,33,DEN,6,0,23.3,3.2,7.5,.422,1.3,3.8,.348,1.8,3.7,.500,.511,3.2,4.0,.792,1.0,2.3,3.3,0.8,0.7,0.3,0.7,1.7,10.8
91,88,James Harden,PG,36,CLE,18,18,37.3,5.7,13.8,.410,2.1,7.1,.299,3.6,6.8,.525,.486,5.7,6.9,.831,0.7,4.4,5.1,5.5,1.7,0.7,4.7,2.6,19.2
92,89,Dylan Harper,SG,19,SAS,23,2,26.7,5.2,10.1,.515,1.0,3.0,.333,4.2,7.1,.591,.564,2.7,3.3,.827,1.3,4.3,5.6,2.7,1.0,0.2,1.5,2.3,14.1
93,90,Ron Harper Jr.,SF,25,BOS,6,1,4.2,0.7,1.5,.444,0.5,1.0,.500,0.2,0.5,.333,.611,0.0,0.0,,0.2,0.5,0.7,0.2,0.5,0.0,0.0,0.2,1.8
94,91,Tobias Harris,PF,33,DET,14,14,34.6,6.5,15.3,.425,1.4,4.6,.292,5.1,10.6,.483,.470,3.7,4.5,.825,1.1,6.1,7.2,1.6,1.5,0.8,1.1,2.6,18.1
95,92,Josh Hart,SF,30,NYK,19,19,32.3,3.9,9.2,.431,1.5,4.5,.326,2.5,4.6,.534,.511,1.1,1.7,.606,1.2,7.8,8.9,4.6,1.7,0.2,1.9,2.7,10.4
96,93,Isaiah Hartenstein,C,27,OKC,15,15,23.3,3.8,6.0,.633,0.0,0.1,.000,3.8,5.9,.640,.633,1.5,2.0,.767,3.3,5.0,8.3,2.6,0.8,0.7,1.7,3.2,9.1
97,94,Sam Hauser,PF,28,BOS,7,6,23.4,2.7,6.6,.413,2.3,5.4,.421,0.4,1.1,.375,.587,0.0,0.0,,1.3,3.0,4.3,0.9,0.1,0.1,0.3,1.4,7.7
98,95,Jaxson Hayes,C,25,LAL,10,0,16.3,1.9,2.8,.679,0.0,0.1,.000,1.9,2.7,.704,.679,1.9,2.7,.704,1.5,1.7,3.2,0.7,0.3,0.8,1.0,2.7,5.7
99,96,Scoot Henderson,PG,21,POR,5,5,29.0,5.6,11.8,.475,2.6,5.6,.464,3.0,6.2,.484,.585,1.2,1.6,.750,0.4,1.2,1.6,1.2,0.8,0.2,1.8,3.4,15.0
100,97,Buddy Hield,SG,33,ATL,2,0,6.5,2.0,2.5,.800,1.0,1.0,1.000,1.0,1.5,.667,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
101,98,Haywood Highsmith,SF,29,PHO,2,0,5.5,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,1.0,0.0,0.0
102,99,Aaron Holiday,PG,29,HOU,6,0,11.2,1.0,3.7,.273,0.7,2.5,.267,0.3,1.2,.286,.364,0.0,0.0,,0.0,0.3,0.3,0.5,0.3,0.2,0.5,1.0,2.7
103,100,Jrue Holiday,PG,35,POR,5,5,38.4,6.2,15.4,.403,2.4,6.8,.353,3.8,8.6,.442,.481,1.6,1.8,.889,1.6,3.8,5.4,7.2,1.4,0.4,3.2,3.0,16.4
104,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
105,101,Ron Holland,SF,20,DET,9,0,6.4,0.4,1.4,.308,0.2,0.9,.250,0.2,0.6,.400,.385,0.3,0.6,.600,0.1,1.4,1.6,0.1,0.4,0.2,0.3,1.0,1.4
106,102,DaRon Holmes,PF,23,DEN,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,103,Chet Holmgren,PF,23,OKC,15,15,30.6,5.5,9.7,.568,1.0,2.8,.357,4.5,6.9,.654,.620,2.9,3.5,.827,2.0,6.2,8.2,1.1,1.1,1.5,1.3,2.3,14.9
108,104,Jett Howard,SF,22,ORL,1,0,3.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,105,Kevin Huerter,SG,27,DET,5,0,9.2,0.4,1.4,.286,0.4,1.0,.400,0.0,0.4,.000,.429,0.0,0.0,,0.0,1.0,1.0,1.4,0.4,0.0,0.4,0.4,1.2
110,106,Ariel Hukporti,C,23,NYK,10,0,7.6,0.5,1.1,.455,0.0,0.1,.000,0.5,1.0,.500,.455,0.7,1.5,.467,1.4,1.8,3.2,0.3,0.2,0.7,0.5,1.8,1.7
111,107,Bones Hyland,PG,25,MIN,10,0,11.6,1.5,5.0,.300,0.9,3.4,.265,0.6,1.6,.375,.390,0.7,0.8,.875,0.3,1.0,1.3,1.5,0.4,0.1,0.8,1.1,4.6
112,108,Oso Ighodaro,PF,23,PHO,4,4,32.3,3.3,6.0,.542,0.0,0.0,,3.3,6.0,.542,.542,1.0,1.5,.667,3.0,4.0,7.0,4.0,0.5,0.8,1.8,3.8,7.5
113,109,Joe Ingles,SF,38,MIN,3,0,4.7,0.7,1.0,.667,0.7,1.0,.667,0.0,0.0,,1.000,0.3,0.7,.500,0.3,0.3,0.7,0.0,0.7,0.0,0.3,0.0,2.3
114,110,Brandon Ingram,SF,28,TOR,5,5,29.6,3.8,11.6,.328,1.0,2.6,.385,2.8,9.0,.311,.371,3.4,4.6,.739,0.4,2.8,3.2,2.2,0.6,0.8,2.0,2.0,12.0
115,111,Trayce Jackson-Davis,C,25,TOR,3,0,1.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.7,0.7,1.000,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.7,0.7
116,112,Bronny James,SG,21,LAL,8,0,5.3,0.6,1.3,.500,0.3,0.8,.333,0.4,0.5,.750,.600,0.0,0.0,,0.4,0.0,0.4,0.9,0.1,0.0,0.5,0.6,1.5
117,113,LeBron James,SF,41,LAL,10,10,38.4,8.4,18.3,.459,1.7,5.2,.327,6.7,13.1,.511,.505,4.7,6.3,.746,0.4,6.3,6.7,7.3,1.3,0.3,3.8,1.6,23.2
118,114,Daniss Jenkins,PG,24,DET,14,3,22.7,3.1,8.7,.361,1.1,4.2,.271,2.0,4.5,.444,.426,1.7,2.2,.774,0.9,1.7,2.6,3.0,0.4,0.4,0.7,1.6,9.1
119,115,Isaiah Joe,SG,26,OKC,13,0,11.0,1.8,4.2,.418,1.2,3.5,.348,0.5,0.7,.778,.564,0.1,0.1,1.000,0.4,1.0,1.4,1.1,0.5,0.1,0.4,1.3,4.8
