,league,season,rank,player,team,position,salary
229,mlb,2017,,Carlos Martinez,STL,SP,"$4,500,000"
230,mlb,2017,,Carlos Ruiz,SEA,C,"$4,500,000"
231,mlb,2017,,Eric Thames,MIL,1B,"$4,500,000"
232,mlb,2017,233,Francisco Liriano,HOU,RP,"$4,475,394"
233,mlb,2017,234,Drew Pomeranz,BOS,SP,"$4,450,000"
234,mlb,2017,235,Tyler Chatwood,COL,SP,"$4,400,000"
235,mlb,2017,,Martín Pérez,TEX,SP,"$4,400,000"
236,mlb,2017,237,Freddy Galvis,PHI,SS,"$4,350,000"
237,mlb,2017,238,Jordy Mercer,PIT,SS,"$4,325,000"
238,mlb,2017,239,Tanner Roark,WSH,SP,"$4,315,000"
239,mlb,2017,240,Lonnie Chisenhall,CLE,RF,"$4,300,000"
240,mlb,2017,241,Wily Peralta,MIL,SP,"$4,275,000"
241,mlb,2017,242,Alex Cobb,TB,SP,"$4,200,000"
242,mlb,2017,,Jeanmar Gomez,PHI,RP,"$4,200,000"
243,mlb,2017,244,Justin Smoak,TOR,1B,"$4,125,000"
244,mlb,2017,245,Jose Iglesias,DET,SS,"$4,100,000"
245,mlb,2017,,Jake Odorizzi,TB,SP,"$4,100,000"
246,mlb,2017,247,Jacob deGrom,NYM,SP,"$4,050,000"
247,mlb,2017,248,Erisbel Arruebarrena,LAD,SS,"$4,000,000"
248,mlb,2017,,Mike Dunn,COL,RP,"$4,000,000"
249,mlb,2017,,Adam Eaton,WSH,RF,"$4,000,000"
250,mlb,2017,,John Jaso,PIT,RF,"$4,000,000"
251,mlb,2017,,Kevin Kiermaier,TB,CF,"$4,000,000"
252,mlb,2017,,Mike Minor,KC,RP,"$4,000,000"
253,mlb,2017,,Oliver Perez,WSH,RP,"$4,000,000"
254,mlb,2017,,Wilson Ramos,TB,C,"$4,000,000"
255,mlb,2017,,Ben Revere,LAA,CF,"$4,000,000"
256,mlb,2017,,Fernando Rodney,ARI,RP,"$4,000,000"
257,mlb,2017,258,Patrick Corbin,ARI,SP,"$3,950,000"
258,mlb,2017,259,George Springer,HOU,RF,"$3,900,000"
259,mlb,2017,260,Collin McHugh,HOU,SP,"$3,850,000"
260,mlb,2017,261,Yu Darvish,LAD,SP,"$3,786,867"
261,mlb,2017,262,Jay Bruce,CLE,RF,"$3,765,014"
262,mlb,2017,263,Gerrit Cole,PIT,SP,"$3,750,000"
263,mlb,2017,,Brandon Moss,KC,DH,"$3,750,000"
264,mlb,2017,265,Marwin Gonzalez,HOU,LF,"$3,725,000"
265,mlb,2017,266,Curtis Granderson,LAD,RF,"$3,606,548"
266,mlb,2017,267,Jackie Bradley Jr.,BOS,CF,"$3,600,000"
267,mlb,2017,,Tyler Flowers,ATL,C,"$3,600,000"
268,mlb,2017,,Lourdes Gurriel Jr.,TOR,2B,"$3,600,000"
269,mlb,2017,270,Brad Miller,TB,SS,"$3,575,000"
270,mlb,2017,271,Howie Kendrick,WSH,LF,"$3,551,912"
271,mlb,2017,272,Trevor Bauer,CLE,SP,"$3,550,000"
272,mlb,2017,,Kevin Gausman,BAL,SP,"$3,550,000"
273,mlb,2017,274,Sam Dyson,SF,RP,"$3,520,000"
274,mlb,2017,275,Stephen Drew,WSH,2B,"$3,500,000"
275,mlb,2017,,Raisel Iglesias,CIN,RP,"$3,500,000"
276,mlb,2017,,Marcell Ozuna,MIA,CF,"$3,500,000"
277,mlb,2017,,Christian Yelich,MIA,LF,"$3,500,000"
278,mlb,2017,279,Jonathan Schoop,BAL,2B,"$3,475,000"
279,mlb,2017,280,Michael Fiers,HOU,SP,"$3,450,000"
280,mlb,2017,281,Danny Salazar,CLE,SP,"$3,400,000"
281,mlb,2017,,Marcus Stroman,TOR,SP,"$3,400,000"
282,mlb,2017,283,Matt Shoemaker,LAA,SP,"$3,325,000"
283,mlb,2017,284,Ryan Madson,WSH,RP,"$3,196,752"
284,mlb,2017,285,Jordan Lyles,COL,SP,"$3,175,000"
285,mlb,2017,286,Drew Storen,CIN,RP,"$3,150,000"
286,mlb,2017,287,Jose Quintana,CHC,SP,"$3,098,331"
287,mlb,2017,288,Brad Brach,BAL,RP,"$3,050,000"
288,mlb,2017,289,Corey Dickerson,TB,OF,"$3,025,000"
289,mlb,2017,290,Dellin Betances,NYY,RP,"$3,000,000"
290,mlb,2017,,Andres Blanco,PHI,SS,"$3,000,000"
291,mlb,2017,,Nick Castellanos,DET,3B,"$3,000,000"
292,mlb,2017,,Scott Feldman,CIN,SP,"$3,000,000"
293,mlb,2017,,Avisaíl García,CHW,RF,"$3,000,000"
294,mlb,2017,,Odubel Herrera,PHI,CF,"$3,000,000"
295,mlb,2017,,Jeff Locke,MIA,RP,"$3,000,000"
296,mlb,2017,,Rougned Odor,TEX,2B,"$3,000,000"
297,mlb,2017,,Stephen Piscotty,STL,RF,"$3,000,000"
298,mlb,2017,,Jorge Soler,KC,LF,"$3,000,000"
299,mlb,2017,,Josh Tomlin,CLE,SP,"$3,000,000"
300,mlb,2017,,Justin Upton,LAA,LF,"$3,000,000"
301,mlb,2017,,Neil Walker,MIL,2B,"$3,000,000"
302,mlb,2017,303,Kyle Gibson,MIN,SP,"$2,900,000"
303,mlb,2017,304,Darwin Barney,TOR,SS,"$2,887,500"
304,mlb,2017,305,José Ramírez,CLE,3B,"$2,871,400"
305,mlb,2017,306,Starling Marte,PIT,CF,"$2,814,207"
306,mlb,2017,307,Matt Adams,ATL,1B,"$2,800,000"
307,mlb,2017,,Jarrod Dyson,SEA,RF,"$2,800,000"
308,mlb,2017,,Joe Kelly,BOS,RP,"$2,800,000"
309,mlb,2017,,Alex Wood,LAD,SP,"$2,800,000"
310,mlb,2017,311,Colby Rasmus,TB,LF,"$2,786,918"
311,mlb,2017,312,Michael Wacha,STL,SP,"$2,775,000"
312,mlb,2017,313,Logan Morrison,TB,DH,"$2,750,000"
313,mlb,2017,,Seunghwan Oh,STL,RP,"$2,750,000"
314,mlb,2017,,Byung-ho Park,MIN,DH,"$2,750,000"
315,mlb,2017,,Yangervis Solarte,SD,3B,"$2,750,000"
316,mlb,2017,317,Addison Reed,BOS,RP,"$2,668,050"
317,mlb,2017,318,Lucas Duda,TB,1B,"$2,654,339"
318,mlb,2017,319,Billy Hamilton,CIN,CF,"$2,625,000"
319,mlb,2017,320,Melky Cabrera,KC,LF,"$2,622,944"
