,league,season,rank,player,team,position,salary
167,nhl,2013,,Cory Schneider,NJD,G,"$4,000,000"
168,nhl,2013,,Drew Stafford,BUF,RW,"$4,000,000"
169,nhl,2013,170,Wayne Simmonds,PHI,RW,"$3,975,000"
170,nhl,2013,,Marc Staal,NYR,D,"$3,975,000"
171,nhl,2013,172,John Carlson,WAS,D,"$3,966,667"
172,nhl,2013,173,Johan Franzen,DET,LW,"$3,954,545"
173,nhl,2013,174,Josh Gorges,MTL,D,"$3,900,000"
174,nhl,2013,,Ondrej Pavelec,WPG,G,"$3,900,000"
175,nhl,2013,176,Eric Brewer,TBL,D,"$3,875,000"
176,nhl,2013,177,Travis Hamonic,NYI,D,"$3,857,143"
177,nhl,2013,178,David Perron,EDM,LW,"$3,812,500"
178,nhl,2013,179,Antti Niemi,SJS,G,"$3,800,000"
179,nhl,2013,180,Kyle Quincey,DET,D,"$3,775,000"
180,nhl,2013,181,Pascal Dupuis,PIT,LW,"$3,750,000"
181,nhl,2013,,Claude Giroux,PHI,C,"$3,750,000"
182,nhl,2013,,Erik Johnson,COL,D,"$3,750,000"
183,nhl,2013,,Brooks Orpik,PIT,D,"$3,750,000"
184,nhl,2013,,Sami Salo,TBL,D,"$3,750,000"
185,nhl,2013,,Antoine Vermette,PHX,C,"$3,750,000"
186,nhl,2013,187,Chris Kunitz,PIT,LW,"$3,725,000"
187,nhl,2013,188,Troy Brouwer,WAS,RW,"$3,666,667"
188,nhl,2013,,Sheldon Souray,ANA,D,"$3,666,667"
189,nhl,2013,190,Justin Williams,LAK,RW,"$3,650,000"
190,nhl,2013,191,Mattias Ohlund,TBL,D,"$3,607,143"
191,nhl,2013,192,Luke Schenn,PHI,D,"$3,600,000"
192,nhl,2013,,Brad Stuart,SJS,D,"$3,600,000"
193,nhl,2013,194,Daniel Alfredsson,DET,RW,"$3,500,000"
194,nhl,2013,,Bryan Allen,ANA,D,"$3,500,000"
195,nhl,2013,,Francois Beauchemin,ANA,D,"$3,500,000"
196,nhl,2013,,Matt Cullen,NSH,C,"$3,500,000"
197,nhl,2013,,David Desharnais,MTL,C,"$3,500,000"
198,nhl,2013,,Matt Duchene,COL,C,"$3,500,000"
199,nhl,2013,,Nicklas Grossman,PHI,D,"$3,500,000"
200,nhl,2013,,Niklas Hjalmarsson,CHI,D,"$3,500,000"
201,nhl,2013,,Kris Letang,PIT,D,"$3,500,000"
202,nhl,2013,,Willie Mitchell,LAK,D,"$3,500,000"
203,nhl,2013,,Michael Ryder,NJD,RW,"$3,500,000"
204,nhl,2013,,Matt Stajan,CGY,C,"$3,500,000"
205,nhl,2013,,Alex Tanguay,COL,RW,"$3,500,000"
206,nhl,2013,,Kyle Turris,OTT,C,"$3,500,000"
207,nhl,2013,,Scottie Upshall,FLA,LW,"$3,500,000"
208,nhl,2013,209,Niklas Backstrom,MIN,G,"$3,416,667"
209,nhl,2013,210,Dave Bolland,TOR,C,"$3,375,000"
210,nhl,2013,,John Oduya,CHI,D,"$3,375,000"
211,nhl,2013,,Rob Scuderi,PIT,D,"$3,375,000"
212,nhl,2013,,Henrik Tallinder,BUF,D,"$3,375,000"
213,nhl,2013,214,Johnny Boychuk,BOS,D,"$3,366,667"
214,nhl,2013,215,Alexander Steen,STL,LW,"$3,362,500"
215,nhl,2013,216,Rene Bourque,MTL,LW,"$3,333,333"
216,nhl,2013,217,Dan Girardi,NYR,D,"$3,325,000"
217,nhl,2013,218,Josh Bailey,NYI,LW,"$3,300,000"
218,nhl,2013,,Trevor Daley,DAL,D,"$3,300,000"
219,nhl,2013,220,Artem Anisimov,CBJ,C,"$3,283,333"
220,nhl,2013,221,Patrik Berglund,STL,C,"$3,250,000"
221,nhl,2013,,Jonathan Ericsson,DET,D,"$3,250,000"
222,nhl,2013,,Andrew Ference,EDM,D,"$3,250,000"
223,nhl,2013,,Paul Gaustad,NSH,C,"$3,250,000"
224,nhl,2013,,Jan Hejda,COL,D,"$3,250,000"
225,nhl,2013,,Clarke MacArthur,OTT,LW,"$3,250,000"
226,nhl,2013,,Evgeni Nabokov,NYI,G,"$3,250,000"
227,nhl,2013,,Rich Peverley,DAL,RW,"$3,250,000"
228,nhl,2013,,Dennis Seidenberg,BOS,D,"$3,250,000"
229,nhl,2013,,Jarret Stoll,LAK,C,"$3,250,000"
230,nhl,2013,231,Derick Brassard,NYR,C,"$3,200,000"
231,nhl,2013,232,Craig Anderson,OTT,G,"$3,187,500"
232,nhl,2013,233,Dustin Brown,LAK,RW,"$3,175,000"
233,nhl,2013,234,Barret Jackman,STL,D,"$3,166,667"
234,nhl,2013,235,Bryce Salvador,NJD,D,"$3,166,666"
235,nhl,2013,236,Carl Gunnarsson,TOR,D,"$3,150,000"
236,nhl,2013,237,Jared Cowen,OTT,D,"$3,100,000"
237,nhl,2013,,Martin Hanzal,PHX,C,"$3,100,000"
238,nhl,2013,,Dainius Zubrus,NJD,RW,"$3,100,000"
239,nhl,2013,240,Nick Foligno,CBJ,LW,"$3,083,333"
240,nhl,2013,,Chris Phillips,OTT,D,"$3,083,333"
241,nhl,2013,242,Derek Stepan,NYR,C,"$3,075,000"
242,nhl,2013,243,Boyd Gordon,EDM,C,"$3,000,000"
243,nhl,2013,,Michael Grabner,NYI,RW,"$3,000,000"
244,nhl,2013,,Mikhail Grabovski,WAS,C,"$3,000,000"
245,nhl,2013,,Andy Greene,NJD,D,"$3,000,000"
246,nhl,2013,,Chris Kelly,BOS,C,"$3,000,000"
247,nhl,2013,,Tomas Kopecky,FLA,LW,"$3,000,000"
248,nhl,2013,,Marc Methot,OTT,D,"$3,000,000"
249,nhl,2013,,Robyn Regehr,LAK,D,"$3,000,000"
250,nhl,2013,,Devin Setoguchi,WPG,RW,"$3,000,000"
251,nhl,2013,,Viktor Stalberg,NSH,LW,"$3,000,000"
252,nhl,2013,,Radim Vrbata,PHX,RW,"$3,000,000"
253,nhl,2013,,Joel Ward,WAS,RW,"$3,000,000"
254,nhl,2013,,Marek Zidlicky,NJD,D,"$3,000,000"
255,nhl,2013,256,Mikael Samuelsson,DET,RW,"$2,992,821"
256,nhl,2013,257,Matt Greene,LAK,D,"$2,950,000"
257,nhl,2013,258,Jonathan Bernier,TOR,G,"$2,900,000"
258,nhl,2013,,Nazem Kadri,TOR,C,"$2,900,000"
259,nhl,2013,260,Logan Couture,SJS,C,"$2,875,000"
260,nhl,2013,,P.K. Subban,MTL,D,"$2,875,000"
261,nhl,2013,262,Kyle Brodziak,MIN,RW,"$2,833,333"
262,nhl,2013,,Semyon Varlamov,COL,G,"$2,833,333"
263,nhl,2013,264,Ladislav Smid,CGY,D,"$2,817,949"
264,nhl,2013,265,Tyler Ennis,BUF,C,"$2,812,500"
265,nhl,2013,266,Karl Alzner,WAS,D,"$2,800,000"
266,nhl,2013,,Nikolai Kulemin,TOR,LW,"$2,800,000"
267,nhl,2013,,Kyle Okposo,NYI,RW,"$2,800,000"
268,nhl,2013,269,Sean Bergenheim,FLA,LW,"$2,750,000"
269,nhl,2013,,Cal Clutterbuck,NYI,RW,"$2,750,000"
270,nhl,2013,,Derek Morris,PHX,D,"$2,750,000"
271,nhl,2013,,Frans Nielsen,NYI,C,"$2,750,000"
272,nhl,2013,,Roman Polak,STL,D,"$2,750,000"
273,nhl,2013,,Karri Ramo,CGY,G,"$2,750,000"
274,nhl,2013,,Andrej Sekera,CAR,D,"$2,750,000"
275,nhl,2013,276,Nick Leddy,CHI,D,"$2,700,000"
276,nhl,2013,277,Corey Crawford,CHI,G,"$2,666,667"
277,nhl,2013,,Jared Spurgeon,MIN,D,"$2,666,667"
278,nhl,2013,279,Mikkel Boedker,PHX,LW,"$2,550,000"
279,nhl,2013,,Curtis Glencross,CGY,LW,"$2,550,000"
280,nhl,2013,281,Damien Brunner,NJD,RW,"$2,500,000"
281,nhl,2013,,Matt Cooke,MIN,LW,"$2,500,000"
