,Player,Age,Team,Season,G,3PA_p100,3P%,eFG%,FT%,MP,PER,TS%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Salary,PercentofCap,season_number,ScoringVolume,PlaymakingVolume,ReboundingVolume,StealsVolume,BlocksVolume,TurnoverVolume,ImpactMinutes,EfficientScoring,OffensiveCreation,Is_Guard,Is_Wing,Is_Big,ShootingGravity,accolades,RookieScale,Expected_Percentage,Expected_Salary,SurplusValuePct,PTS,TRB,AST
69,Moses Moody,23.0,GSW,2025,60.0,11.9,0.401,0.575,0.77,25.7,13.5,0.6,18.3,1.7,1.4,0.096,0.2,-0.3,-0.1,0.7,11574075.0,0.0748,5,1374.0,186.0,378.0,108.0,66.0,108.0,-2.6,13.7,29.7,1,0,0,0.6,0,0,0.0843,13037160.6,0.9503,12.1,3.3,1.6
70,Christian Braun,24.0,DEN,2025,44.0,5.0,0.301,0.575,0.782,31.8,12.6,0.607,14.8,2.2,0.8,0.103,-0.4,-0.9,-1.2,0.3,4921797.0,0.0318,4,805.2,184.8,325.6,44.0,17.6,66.0,-38.2,11.1,26.5,1,0,0,-0.2,0,1,0.0403,6227310.2,0.8468,12.0,4.8,2.7
71,Matas Buzelis,21.0,CHI,2025,77.0,10.3,0.349,0.553,0.786,29.2,14.8,0.586,22.8,0.4,2.1,0.055,-0.6,-0.4,-1.0,0.5,5455560.0,0.0353,2,2009.7,254.1,716.1,84.7,184.8,254.1,-29.2,15.3,32.7,0,0,1,-0.0,0,1,0.0433,6693334.9,0.7981,16.3,5.8,2.1
72,Mark Williams,24.0,PHO,2025,60.0,0.0,1.0,0.645,0.771,23.6,21.8,0.68,17.4,4.0,2.3,0.215,1.5,0.5,2.0,1.4,6276531.0,0.0406,4,1464.0,120.0,996.0,114.0,114.0,138.0,47.2,16.6,28.4,0,0,1,0.0,0,1,0.0484,7481524.8,0.7778,11.7,8.0,1.0
73,Isaiah Joe,26.0,OKC,2025,71.0,13.7,0.423,0.622,0.894,21.2,15.5,0.657,18.4,3.2,2.4,0.176,2.0,0.5,2.5,1.7,12362338.0,0.0799,6,1789.2,213.0,411.8,113.6,28.4,99.4,53.0,16.6,32.2,1,0,0,1.0,0,0,0.0877,13556249.8,0.7759,11.1,2.5,1.3
74,Luke Kennard,29.0,2TM,2025,78.0,7.0,0.478,0.665,0.913,21.6,13.5,0.689,13.5,3.2,1.4,0.13,0.1,0.1,0.1,0.9,11000000.0,0.0711,9,1450.8,390.0,405.6,124.8,15.6,132.6,2.2,12.8,29.5,1,0,0,0.9,0,0,0.0785,12137214.3,0.7383,8.4,2.3,2.2
75,Stephon Castle,21.0,SAS,2025,68.0,5.7,0.332,0.521,0.734,30.0,17.4,0.575,24.9,2.8,2.9,0.136,1.0,0.9,1.9,2.0,9560520.0,0.0618,2,1815.6,802.4,578.0,122.4,27.2,346.8,57.0,15.4,50.2,1,0,0,-0.1,0,1,0.0689,10653539.5,0.7089,16.7,5.3,7.4
76,Mitchell Robinson,27.0,NYK,2025,60.0,0.0,0.0,0.723,0.408,19.6,21.1,0.676,10.7,3.3,2.5,0.236,1.9,1.5,3.5,1.6,12954546.0,0.0838,8,858.0,132.0,1332.0,144.0,180.0,102.0,68.6,9.7,18.7,0,0,1,-0.0,0,0,0.0907,14030549.4,0.6926,5.7,8.8,0.9
77,Guerschon Yabusele,30.0,2TM,2025,67.0,9.3,0.352,0.511,0.75,15.0,11.1,0.543,16.1,0.4,1.0,0.067,-1.7,-0.5,-2.2,-0.1,5500000.0,0.0356,9,1185.9,201.0,743.7,80.4,53.6,127.3,-33.0,9.6,23.7,0,0,1,0.0,0,0,0.0419,6477152.8,0.6283,5.6,3.5,0.9
78,Clint Capela,31.0,HOU,2025,75.0,0.1,0.5,0.522,0.577,12.3,17.9,0.54,13.7,1.3,1.7,0.156,-0.5,0.9,0.4,0.6,6700000.0,0.0433,12,1140.0,202.5,1395.0,142.5,255.0,165.0,4.9,8.2,20.6,0,0,1,0.0,0,0,0.0491,7592549.1,0.5796,3.8,4.6,0.7
79,Jalen Smith,25.0,CHI,2025,53.0,9.4,0.373,0.584,0.742,20.7,16.6,0.608,19.0,1.5,1.1,0.114,0.2,-0.9,-0.7,0.4,9000000.0,0.0582,6,1224.3,148.4,805.6,53.0,95.4,121.9,-14.5,14.0,28.9,0,0,1,0.2,0,0,0.0632,9778946.5,0.5034,10.2,6.7,1.2
80,Santi Aldama,25.0,MEM,2025,43.0,7.9,0.35,0.553,0.667,27.9,16.3,0.572,20.2,1.3,1.0,0.092,1.3,0.4,1.7,1.1,18485916.0,0.1195,5,1023.4,215.0,485.9,64.5,51.6,94.6,47.4,13.6,33.8,0,0,1,0.0,0,0,0.1242,19203669.3,0.4677,14.0,6.7,2.9
81,Max Christie,22.0,DAL,2025,77.0,9.4,0.404,0.566,0.899,29.1,11.0,0.601,16.5,1.3,1.4,0.058,-1.0,-0.6,-1.5,0.3,7714286.0,0.0499,4,1532.3,246.4,400.4,77.0,46.2,154.0,-43.7,12.0,26.8,1,0,0,0.5,0,1,0.0542,8380552.1,0.4291,12.3,3.2,2.0
82,Jeremiah Fears,19.0,NOP,2025,82.0,6.9,0.33,0.485,0.789,25.8,13.8,0.525,25.5,-0.8,1.4,0.015,-1.4,-1.3,-2.7,-0.4,7520040.0,0.0486,1,2173.0,516.6,557.6,180.4,57.4,328.0,-69.7,13.9,39.0,1,0,0,-0.1,0,1,0.0527,8156991.1,0.4146,14.3,3.7,3.4
