,Player,Age,Team,Season,G,3PA_p100,3P%,eFG%,FT%,MP,PER,TS%,USG%,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Salary,PercentofCap,season_number,ScoringVolume,PlaymakingVolume,ReboundingVolume,StealsVolume,BlocksVolume,TurnoverVolume,ImpactMinutes,EfficientScoring,OffensiveCreation,Is_Guard,Is_Wing,Is_Big,ShootingGravity,accolades,RookieScale,Expected_Percentage,Expected_Salary,SurplusValuePct,PTS,TRB,AST
185,Cameron Johnson,29.0,DEN,2025,54.0,7.6,0.43,0.596,0.839,30.5,12.8,0.629,15.1,2.7,1.0,0.108,0.3,-0.9,-0.6,0.6,21057065.0,0.1362,7,1058.4,210.6,329.4,64.8,32.4,75.6,-18.3,12.3,28.0,0,1,0,0.6,0,0,0.0839,12976591.9,-5.2289,12.2,3.8,2.4
186,Joel Embiid,31.0,PHI,2025,38.0,6.4,0.333,0.527,0.854,31.6,24.7,0.605,33.5,2.8,1.3,0.163,5.1,-0.2,4.9,2.1,55224526.0,0.3571,10,1558.0,228.0,448.4,30.4,68.4,167.2,154.8,24.8,52.9,0,0,1,-0.1,0,0,0.3046,47109053.8,-5.2477,26.9,7.7,3.9
187,Giannis Antetokounmpo,31.0,MIL,2025,36.0,2.1,0.333,0.636,0.65,28.9,32.6,0.658,37.0,3.9,1.1,0.231,7.7,1.8,9.5,3.0,54126450.0,0.35,13,1692.0,334.8,601.2,57.6,39.6,194.4,274.6,30.9,65.6,0,0,1,-0.0,1,0,0.2968,45903618.9,-5.3172,27.6,9.8,5.4
188,Immanuel Quickley,26.0,TOR,2025,70.0,10.4,0.374,0.541,0.821,31.9,16.6,0.577,21.1,3.9,2.6,0.14,1.9,0.6,2.4,2.5,32500000.0,0.2102,6,1757.0,637.0,434.0,140.0,7.0,154.0,76.6,14.5,43.5,1,0,0,0.2,0,0,0.1564,24184480.8,-5.3815,16.4,4.0,5.9
189,Cade Cunningham,24.0,DET,2025,64.0,8.1,0.342,0.513,0.812,33.9,21.6,0.564,30.5,4.2,3.6,0.174,4.8,1.5,6.3,4.6,46394100.0,0.3,5,2182.4,902.4,505.6,128.0,76.8,339.2,213.6,19.2,62.2,1,0,0,-0.1,4,0,0.2456,37985002.4,-5.4376,23.9,5.5,9.9
190,Malik Monk,27.0,SAC,2025,62.0,11.1,0.395,0.536,0.879,22.0,14.2,0.568,24.0,0.8,0.2,0.034,0.8,-2.1,-1.3,0.2,18797619.0,0.1216,9,1698.8,409.2,254.2,80.6,55.8,198.4,-28.6,15.6,41.1,1,0,0,0.5,0,0,0.0659,10193402.1,-5.5686,12.5,1.9,3.0
191,Kelly Olynyk,34.0,SAS,2025,42.0,6.3,0.255,0.552,0.711,8.6,13.5,0.59,16.0,0.4,0.6,0.13,-1.3,1.3,-0.1,0.2,13445122.0,0.0869,13,743.4,273.0,424.2,84.0,16.8,134.4,-0.9,10.4,30.1,0,0,1,-0.6,0,0,0.031,4797229.3,-5.5879,3.2,1.8,1.2
192,Jimmy Butler,36.0,GSW,2025,38.0,3.5,0.376,0.554,0.864,31.1,23.5,0.646,23.3,4.6,1.1,0.233,5.0,0.5,5.5,2.3,54126450.0,0.35,15,1185.6,288.8,330.6,87.4,11.4,95.0,171.0,20.2,46.5,0,1,0,0.1,0,0,0.2941,45480168.4,-5.591,20.0,5.6,4.9
193,Devin Vassell,25.0,SAS,2025,67.0,10.2,0.384,0.547,0.815,30.5,13.0,0.574,18.0,2.3,2.6,0.115,0.1,0.3,0.5,1.3,27500000.0,0.1778,6,1467.3,261.3,422.1,87.1,40.2,93.8,15.2,12.6,30.0,1,0,0,0.3,0,0,0.1201,18579635.6,-5.7658,13.9,4.0,2.5
194,LeBron James,41.0,LAL,2025,60.0,6.0,0.317,0.557,0.737,33.2,20.8,0.594,27.2,3.4,2.1,0.131,3.3,0.2,3.5,2.8,52627153.0,0.3403,23,1848.0,636.0,534.0,108.0,54.0,264.0,116.2,18.3,51.8,0,1,0,-0.2,1,0,0.2826,43707532.4,-5.7672,20.9,6.1,7.2
195,Alex Caruso,31.0,OKC,2025,56.0,8.6,0.293,0.512,0.804,18.2,12.8,0.54,15.7,0.3,2.2,0.12,-1.4,3.3,1.9,1.0,18102000.0,0.1171,9,924.0,291.2,408.8,190.4,44.8,128.8,34.6,8.9,26.4,1,0,0,-0.5,0,0,0.0589,9105356.0,-5.8222,6.2,2.8,2.0
196,Scottie Barnes,24.0,TOR,2025,80.0,4.1,0.304,0.537,0.815,33.5,19.2,0.577,23.4,3.3,4.5,0.14,1.9,2.3,4.2,4.2,38661750.0,0.25,5,2104.0,688.0,872.0,168.0,168.0,304.0,140.7,15.2,43.3,0,0,1,-0.2,1,0,0.1903,29425414.7,-5.9725,18.1,7.5,5.9
197,Myles Turner,29.0,MIL,2025,71.0,9.9,0.383,0.553,0.74,26.9,14.2,0.584,18.6,1.2,1.8,0.076,-0.9,0.0,-0.9,0.5,25318251.0,0.1637,11,1547.8,184.6,688.7,92.3,213.0,149.1,-24.2,12.7,27.3,0,0,1,0.3,0,0,0.1019,15760135.5,-6.179,11.9,5.3,1.5
198,Zaccharie Risacher,20.0,ATL,2025,67.0,8.1,0.368,0.544,0.644,22.4,11.8,0.557,17.6,0.5,1.9,0.074,-2.3,-0.2,-2.5,-0.2,13197720.0,0.0853,2,1346.7,160.8,542.7,127.3,73.7,120.6,-56.0,11.2,25.0,0,1,0,0.1,0,1,0.0233,3610251.2,-6.1955,9.6,3.8,1.1
199,Andrew Nembhard,26.0,IND,2025,57.0,7.9,0.361,0.513,0.825,31.3,15.7,0.564,23.6,2.2,0.7,0.077,1.1,-1.9,-0.8,0.6,18102000.0,0.1171,4,1464.9,661.2,245.1,79.8,11.4,205.2,-25.0,14.5,49.0,1,0,0,0.1,0,1,0.0537,8311006.1,-6.3358,16.9,2.8,7.7
200,Kevin Durant,37.0,HOU,2025,78.0,7.9,0.413,0.588,0.874,36.4,21.1,0.641,27.1,7.5,3.2,0.18,4.4,0.1,4.5,4.7,54708609.0,0.3538,19,2776.8,507.0,585.0,85.8,93.6,335.4,163.8,22.8,49.1,0,1,0,0.5,4,0,0.2894,44749120.5,-6.4437,26.0,5.5,4.8
201,Anfernee Simons,26.0,2TM,2025,55.0,13.8,0.385,0.552,0.896,24.9,14.4,0.576,23.6,1.8,1.1,0.101,1.2,-1.3,-0.1,0.7,27678571.0,0.179,8,1578.5,269.5,269.5,55.0,16.5,137.5,-2.5,16.5,39.0,1,0,0,0.5,0,0,0.1133,17523656.5,-6.5686,14.3,2.5,2.4
202,Isaiah Hartenstein,27.0,OKC,2025,47.0,0.3,0.0,0.622,0.61,24.2,19.8,0.631,16.1,2.5,2.8,0.223,1.0,3.2,4.2,1.8,28500000.0,0.1843,8,864.8,333.7,883.6,94.0,70.5,164.5,101.6,11.6,32.5,0,0,1,-0.1,0,0,0.1184,18312503.9,-6.5885,9.2,9.4,3.5
203,Desmond Bane,27.0,ORL,2025,82.0,7.4,0.391,0.553,0.908,33.6,16.9,0.607,23.3,4.8,2.6,0.129,1.6,-0.2,1.4,2.3,36725670.0,0.2375,6,2353.4,483.8,483.8,123.0,49.2,237.8,47.0,17.4,40.8,1,0,0,0.3,0,0,0.1626,25140983.5,-7.493,20.1,4.1,4.1
204,Anthony Edwards,24.0,MIN,2025,61.0,11.5,0.399,0.572,0.796,35.0,21.8,0.617,31.5,3.9,2.7,0.147,4.7,-0.1,4.5,3.5,45550512.0,0.2945,6,2397.3,305.0,408.7,115.9,67.1,237.9,157.5,24.2,49.9,1,0,0,0.6,1,0,0.2188,33842540.1,-7.5663,28.8,5.0,3.7
205,Kentavious Caldwell-Pope,32.0,MEM,2025,51.0,7.6,0.316,0.485,0.913,21.3,11.0,0.533,17.7,0.2,0.5,0.032,-2.3,-0.2,-2.5,-0.1,21621500.0,0.1398,13,948.6,311.1,275.4,96.9,15.3,137.7,-53.2,9.9,30.5,1,0,0,-0.3,0,0,0.055,8499535.5,-8.4839,8.4,2.5,2.7
206,Jonathan Kuminga,23.0,2TM,2025,36.0,6.1,0.333,0.515,0.724,23.1,14.2,0.557,23.4,0.1,0.9,0.059,-1.5,-0.5,-2.0,0.0,23799569.0,0.1539,5,910.8,172.8,421.2,46.8,21.6,140.4,-46.2,14.1,34.8,0,0,1,-0.1,0,0,0.0686,10601079.5,-8.535,12.2,5.6,2.3
207,Paul George,35.0,PHI,2025,37.0,10.8,0.392,0.536,0.82,30.7,16.7,0.57,23.3,1.1,1.4,0.108,1.0,0.7,1.7,1.1,51666090.0,0.3341,16,1010.1,210.9,307.1,96.2,25.9,99.9,52.2,15.6,39.2,0,0,1,0.5,0,0,0.2389,36944107.8,-9.5207,17.3,5.3,3.6
208,Karl-Anthony Towns,30.0,NYK,2025,75.0,6.6,0.368,0.556,0.858,31.0,22.0,0.619,25.9,5.5,4.0,0.197,2.7,0.6,3.3,3.1,53142264.0,0.3436,11,2407.5,360.0,1425.0,105.0,67.5,300.0,102.3,19.9,41.8,0,0,1,0.1,1,0,0.2417,37382936.2,-10.1869,20.1,11.9,3.0
209,Jalen Suggs,24.0,ORL,2025,57.0,11.0,0.339,0.529,0.855,27.6,15.6,0.561,22.9,0.3,2.4,0.083,0.7,1.8,2.5,1.8,35000000.0,0.2263,5,1368.0,541.5,381.9,182.4,68.4,262.2,69.0,13.5,42.9,1,0,0,-0.1,0,0,0.1158,17905813.1,-11.0515,13.8,3.9,5.5
210,Jordan Poole,26.0,NOP,2025,39.0,14.8,0.333,0.48,0.86,23.9,11.5,0.53,25.1,0.0,0.2,0.01,-0.9,-2.6,-3.5,-0.4,31848215.0,0.2059,7,1049.1,237.9,152.1,42.9,31.2,136.5,-83.6,14.3,38.8,1,0,0,-0.3,0,0,0.0853,13189483.3,-12.0612,13.4,2.0,3.1
211,Evan Mobley,24.0,CLE,2025,65.0,4.8,0.297,0.582,0.606,31.9,20.0,0.596,22.6,3.6,2.9,0.15,1.8,1.2,3.0,2.6,46394100.0,0.3,5,1774.5,351.0,884.0,71.5,169.0,182.0,95.7,16.3,37.8,0,0,1,-0.3,0,0,0.175,27062765.5,-12.5003,18.2,9.0,3.6
212,Zach LaVine,30.0,SAC,2025,39.0,10.0,0.39,0.569,0.88,31.4,14.7,0.614,23.7,1.3,0.0,0.051,0.6,-2.2,-1.5,0.2,47499660.0,0.3071,12,1154.4,136.5,167.7,42.9,15.6,113.1,-47.1,18.2,37.0,1,0,0,0.4,0,0,0.1778,27491041.1,-12.9334,19.2,2.8,2.3
213,Khris Middleton,34.0,2TM,2025,63.0,6.1,0.36,0.482,0.875,22.8,10.9,0.533,20.6,-0.3,0.5,0.008,-2.8,-1.5,-4.4,-0.9,35086419.0,0.2269,14,1323.0,365.4,478.8,81.9,18.9,220.5,-100.3,11.2,32.7,0,1,0,0.1,0,0,0.0951,14705967.7,-13.1806,10.2,3.7,2.8
