,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played,Field Goals Per 100 Team Possessions,Field Goal Attempts Per 100 Team Possessions,Field Goal Percentage,3-Point Field Goals Per 100 Team Possesssions,3-Point Field Goal Attempts Per 100 Team Possessions,3-Point Field Goal Percentage,2-Point Field Goals Per 100 Team Possessions,2-Point Field Goal Attempts Per 100 Team Possessions,2-Point Field Goal Percentage,Free Throws Per 100 Team Possessions,Free Throw Attempts Per 100 Team Possessions,Free Throw Percentage,Offensive Rebounds Per 100 Team Possessions,Defensive Rebounds Per 100 Team Possessions,Total Rebounds Per 100 Team Possessions,Assists Per 100 Team Possessions,Steals Per 100 Team Possessions,Blocks Per 100 Team Possessions,Turnovers Per 100 Team Possessions,Personal Fouls Per 100 Team Possessions,Points Per 100 Team Possessions,Unnamed: 30,Offensive Rating,Defensive Rating,Season
219,16,Jerryd Bayless,PG,24,MEM,15,0,320,8.3,23.3,.358,3.1,10.0,.305,5.3,13.2,.397,3.9,4.4,.885,0.2,4.9,5.1,5.4,1.2,0.8,2.7,5.9,23.6,,97,107,2012-2013
220,17,Aron Baynes,C,26,SAS,4,1,23,9.3,16.3,.571,0.0,0.0,0,9.3,16.3,.571,0.0,0.0,0,4.7,7.0,11.6,0.0,0.0,0.0,2.3,9.3,18.6,,107,106,2012-2013
221,18,Kent Bazemore,SG,23,GSW,9,0,16,3.2,25.5,.125,0.0,3.2,.000,3.2,22.3,.143,0.0,12.8,.000,3.2,12.8,16.0,6.4,3.2,0.0,6.4,9.6,6.4,,34,99,2012-2013
222,19,Marco Belinelli,SG,26,CHI,12,7,325,7.4,18.1,.411,2.7,7.9,.340,4.7,10.1,.467,4.9,5.6,.879,0.0,5.9,5.9,5.2,0.8,0.0,2.5,4.4,22.5,,110,113,2012-2013
223,20,Patrick Beverley,PG,24,HOU,6,5,200,7.1,16.4,.431,2.0,6.1,.333,5.1,10.4,.488,1.8,1.8,1.000,2.8,5.6,8.3,4.3,1.8,1.0,1.5,6.1,17.9,,114,111,2012-2013
224,21,Andris Biedriņš,C,26,GSW,3,0,17,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,6.0,15.0,21.0,3.0,0.0,6.0,3.0,18.0,0.0,,98,98,2012-2013
225,22,Chauncey Billups,SG,36,LAC,6,6,115,5.2,17.1,.306,2.8,8.1,.353,2.4,9.0,.263,4.3,5.2,.818,0.9,4.7,5.7,2.8,0.5,0.5,3.8,4.7,17.5,,87,117,2012-2013
226,23,DeJuan Blair,PF,23,SAS,12,0,76,14.8,24.0,.618,0.0,0.0,0,14.8,24.0,.618,3.5,6.3,.556,4.2,12.7,16.9,4.9,3.5,0.7,0.7,9.9,33.1,,131,94,2012-2013
227,24,Steve Blake,PG,32,LAL,2,2,75,7.6,19.5,.393,3.5,8.3,.417,4.2,11.1,.375,0.7,0.7,1.000,0.0,5.6,5.6,3.5,2.8,2.1,2.8,5.6,19.5,,91,109,2012-2013
228,25,Andray Blatche,C,26,BRK,7,0,138,11.4,22.9,.500,0.0,0.0,0,11.4,22.9,.500,5.5,6.7,.824,3.9,9.5,13.4,3.5,0.8,1.2,2.0,5.5,28.4,,116,105,2012-2013
229,26,Eric Bledsoe,PG,23,LAC,6,0,97,8.4,16.9,.500,0.6,5.1,.111,7.9,11.8,.667,4.5,6.7,.667,1.1,7.3,8.4,10.1,1.1,1.7,2.8,5.6,21.9,,116,113,2012-2013
230,27,Keith Bogans,SG,32,BRK,2,0,23,0.0,2.4,.000,0.0,2.4,.000,0.0,0.0,0,0.0,0.0,0,0.0,4.7,4.7,4.7,0.0,0.0,2.4,7.1,0.0,,45,111,2012-2013
231,28,Andrew Bogut,C,28,GSW,12,12,327,6.1,10.5,.582,0.0,0.0,0,6.1,10.5,.582,1.2,3.6,.348,6.1,14.4,20.5,3.4,0.9,2.8,3.4,6.1,13.4,,107,100,2012-2013
232,29,Matt Bonner,PF,32,SAS,20,1,267,5.6,11.8,.475,3.0,6.4,.469,2.6,5.4,.481,2.0,2.4,.833,1.8,6.0,7.8,1.2,1.0,1.0,0.4,7.0,16.2,,131,104,2012-2013
233,30,Carlos Boozer,PF,31,CHI,12,12,431,10.6,21.4,.494,0.0,0.1,.000,10.6,21.3,.497,4.0,5.7,.689,4.5,10.2,14.7,2.3,1.3,0.1,3.7,4.6,25.1,,102,109,2012-2013
234,31,Chris Bosh,C,28,MIA,23,23,751,8.0,17.6,.458,1.1,2.7,.405,7.0,14.9,.468,3.2,4.4,.733,2.8,9.4,12.2,2.5,1.7,2.6,2.0,4.9,20.4,,108,100,2012-2013
235,32,Avery Bradley,PG,22,BOS,6,6,191,4.9,12.1,.405,0.6,2.3,.250,4.3,9.8,.441,1.2,1.2,1.000,0.9,2.9,3.8,2.3,3.2,0.3,3.2,3.2,11.5,,79,99,2012-2013
236,33,Corey Brewer,SF,26,DEN,6,0,146,7.1,23.0,.309,3.0,12.2,.250,4.1,10.8,.375,4.7,7.1,.667,1.0,2.7,3.7,2.4,2.0,0.3,2.4,6.4,22.0,,88,112,2012-2013
237,34,Ronnie Brewer,SF,27,OKC,1,0,8,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,6.5,6.5,0.0,0.0,0.0,0.0,6.5,0.0,,,109,2012-2013
238,35,Aaron Brooks,PG,28,HOU,6,0,67,9.8,25.6,.382,0.8,6.8,.111,9.1,18.9,.480,2.3,3.8,.600,2.3,4.5,6.8,8.3,0.8,0.8,4.5,2.3,22.6,,89,115,2012-2013
239,36,MarShon Brooks,SG,24,BRK,7,0,40,4.1,10.9,.375,0.0,1.4,.000,4.1,9.5,.429,2.7,2.7,1.000,1.4,5.4,6.8,4.1,0.0,0.0,4.1,4.1,10.9,,83,111,2012-2013
