,Rk,Player,Pos,Age,Tm,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Season
41,42,Earl Clark,PF,24,ORL,5,0,17.6,1.6,3.6,.444,0.0,0.0,0,1.6,3.6,.444,.444,0.8,1.4,.571,1.6,5.0,6.6,0.2,0.4,1.0,0.8,1.2,4.0,2011-2012
42,43,Norris Cole,PG,23,MIA,19,0,8.9,0.6,1.9,.324,0.2,0.6,.250,0.5,1.3,.360,.365,0.4,0.5,.778,0.1,0.5,0.5,0.6,0.4,0.0,0.3,1.3,1.8,2011-2012
43,44,Jason Collins,C,33,ATL,5,4,17.0,1.2,2.2,.545,0.0,0.0,0,1.2,2.2,.545,.545,0.0,0.0,0,0.8,1.6,2.4,0.0,0.2,0.0,2.0,3.2,2.4,2011-2012
44,45,Darren Collison,PG,24,IND,11,0,18.6,3.3,6.4,.514,0.4,1.0,.364,2.9,5.4,.542,.543,1.8,2.1,.870,0.3,1.0,1.3,3.0,1.3,0.0,1.0,1.0,8.7,2011-2012
45,46,Nick Collison,PF,31,OKC,20,0,16.6,1.7,2.6,.647,0.0,0.0,0,1.7,2.6,.647,.647,0.2,0.4,.429,1.5,1.9,3.4,1.0,0.6,0.3,0.6,2.6,3.5,2011-2012
46,47,Mike Conley,PG,24,MEM,7,7,39.6,4.6,10.9,.421,1.6,3.1,.500,3.0,7.7,.389,.493,3.4,4.6,.750,0.6,2.7,3.3,7.1,0.9,0.0,2.3,2.7,14.1,2011-2012
47,48,Daequan Cook,SG,24,OKC,16,0,6.8,0.9,2.3,.378,0.5,1.5,.333,0.4,0.8,.462,.486,0.0,0.1,.000,0.0,0.6,0.6,0.3,0.2,0.0,0.0,0.4,2.3,2011-2012
48,49,Dante Cunningham,PF,24,MEM,7,0,7.0,0.6,1.6,.364,0.0,0.0,0,0.6,1.6,.364,.364,0.0,0.0,0,0.9,0.7,1.6,0.0,0.1,0.3,0.1,0.4,1.1,2011-2012
49,50,Erick Dampier,C,36,ATL,4,0,13.8,1.8,3.3,.538,0.0,0.0,0,1.8,3.3,.538,.538,0.5,0.8,.667,1.8,1.8,3.5,0.0,0.0,0.3,0.8,1.5,4.0,2011-2012
50,51,Marquis Daniels,SG,31,BOS,15,0,6.1,0.7,1.3,.579,0.0,0.1,.000,0.7,1.1,.647,.579,0.5,0.7,.800,0.1,0.6,0.7,0.2,0.1,0.1,0.1,0.9,2.0,2011-2012
51,52,Baron Davis,PG,32,NYK,4,4,24.3,2.8,5.8,.478,1.0,3.5,.286,1.8,2.3,.778,.565,1.3,1.3,1.000,0.0,0.8,0.8,3.3,0.0,0.0,3.3,3.8,7.8,2011-2012
52,53,Glen Davis,PF,26,ORL,5,5,38.0,7.8,17.8,.438,0.0,0.0,0,7.8,17.8,.438,.438,3.4,4.4,.773,4.6,4.6,9.2,0.8,0.6,1.2,1.8,2.0,19.0,2011-2012
53,54,Luol Deng,SF,26,CHI,6,6,38.0,6.0,13.2,.456,1.3,3.7,.364,4.7,9.5,.491,.506,0.7,1.2,.571,1.3,7.0,8.3,1.5,0.8,1.5,1.7,1.7,14.0,2011-2012
54,55,Boris Diaw,PF,29,SAS,14,14,24.7,2.6,5.0,.514,0.6,1.3,.500,1.9,3.7,.519,.579,0.4,0.6,.750,2.0,3.2,5.2,2.5,0.8,0.3,1.1,2.1,6.2,2011-2012
55,56,Keyon Dooling,SG,31,BOS,20,0,10.6,1.1,2.4,.438,0.6,1.4,.393,0.5,1.0,.500,.552,0.1,0.2,.667,0.1,0.7,0.8,0.7,0.3,0.2,0.2,1.5,2.8,2011-2012
56,57,Toney Douglas,PG,25,NYK,1,0,8.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2011-2012
57,58,Chris Duhon,PG,29,ORL,5,0,12.2,0.2,1.0,.200,0.2,0.6,.333,0.0,0.4,.000,.300,0.0,0.4,.000,0.0,1.4,1.4,1.8,1.0,0.2,1.4,1.0,0.6,2011-2012
58,59,Tim Duncan,C,35,SAS,14,14,33.1,7.2,14.6,.495,0.0,0.1,.000,7.2,14.5,.498,.495,2.9,4.1,.707,2.3,7.1,9.4,2.8,0.7,2.1,1.5,2.1,17.4,2011-2012
59,60,Kevin Durant,SF,23,OKC,20,20,41.9,9.9,19.2,.517,2.1,5.5,.373,7.9,13.7,.575,.570,6.7,7.7,.864,0.7,6.8,7.4,3.7,1.5,1.2,3.2,2.6,28.5,2011-2012
60,61,Devin Ebanks,SG,22,LAL,9,6,14.0,1.8,4.3,.410,0.0,0.3,.000,1.8,4.0,.444,.410,0.6,0.9,.625,0.8,1.4,2.2,0.7,0.3,0.8,0.2,1.4,4.1,2011-2012
61,62,Jeremy Evans,SF,24,UTA,2,0,3.5,0.0,0.5,.000,0.0,0.0,0,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,1.5,1.5,0.5,0.5,0.0,0.0,0.5,1.0,2011-2012
62,63,Reggie Evans,PF,31,LAC,11,0,18.0,0.7,1.4,.533,0.0,0.0,0,0.7,1.4,.533,.533,1.5,3.6,.425,1.8,5.5,7.3,0.1,0.8,0.5,0.8,2.8,3.0,2011-2012
63,64,Christian Eyenga,SF,22,LAL,3,0,3.0,0.7,1.0,.667,0.0,0.0,0,0.7,1.0,.667,.667,0.0,0.3,.000,0.3,0.3,0.7,0.3,0.3,0.3,0.3,1.0,1.3,2011-2012
64,65,Kenneth Faried,PF,22,DEN,7,7,27.4,4.6,8.6,.533,0.0,0.0,0,4.6,8.6,.533,.533,1.3,1.7,.750,3.6,6.4,10.0,0.6,0.7,1.1,2.0,2.9,10.4,2011-2012
65,66,Derrick Favors,PF,20,UTA,4,1,29.0,3.8,9.0,.417,0.0,0.0,0,3.8,9.0,.417,.417,4.3,7.3,.586,3.5,6.0,9.5,0.5,1.3,1.5,1.3,2.8,11.8,2011-2012
66,67,Landry Fields,SG,23,NYK,5,4,23.0,3.0,6.2,.484,0.2,1.0,.200,2.8,5.2,.538,.500,1.0,1.4,.714,0.8,2.2,3.0,1.4,0.6,0.0,1.8,1.0,7.2,2011-2012
67,68,Derek Fisher,PG,37,OKC,20,0,22.3,2.5,5.9,.415,0.9,2.4,.375,1.6,3.5,.443,.492,0.5,0.5,1.000,0.1,1.5,1.6,1.3,0.9,0.1,0.3,1.9,6.3,2011-2012
68,69,Randy Foye,SG,28,LAC,11,11,26.5,2.6,6.7,.392,1.3,2.9,.438,1.4,3.8,.357,.486,1.0,1.2,.846,0.4,1.6,2.0,1.5,0.5,0.3,1.1,1.7,7.5,2011-2012
69,70,Enes Freedom,C,19,UTA,4,0,10.8,1.8,4.0,.438,0.0,0.0,0,1.8,4.0,.438,.438,0.0,0.3,.000,2.0,2.0,4.0,0.3,0.0,1.0,1.0,1.8,3.5,2011-2012
70,71,Danilo Gallinari,SF,23,DEN,7,7,31.7,4.9,13.4,.362,0.6,3.3,.174,4.3,10.1,.423,.383,3.1,3.4,.917,1.3,3.9,5.1,2.4,0.7,0.6,1.3,2.1,13.4,2011-2012
71,72,Kevin Garnett,C,35,BOS,20,20,36.9,8.0,16.0,.497,0.1,0.2,.250,7.9,15.8,.500,.498,3.3,4.0,.813,1.6,8.8,10.3,1.5,1.2,1.5,2.2,3.0,19.2,2011-2012
